ID	Symbol	Type
84967	LSM10	protein-coding
127700	OSCP1	protein-coding
64960	MRPS15	protein-coding
1441	CSF3R	protein-coding
2899	GRIK3	protein-coding
80149	ZC3H12A	protein-coding
64769	MEAF6	protein-coding
79753	SNIP1	protein-coding
7802	DNALI1	protein-coding
29889	GNL2	protein-coding
284654	RSPO1	protein-coding
54955	C1orf109	protein-coding
55143	CDCA8	protein-coding
284656	EPHA10	protein-coding
149175	MANEAL	protein-coding
79693	YRDC	protein-coding
127687	C1orf122	protein-coding
4520	MTF1	protein-coding
3633	INPP5B	protein-coding
10946	SF3A3	protein-coding
2275	FHL3	protein-coding
51118	UTP11	protein-coding
5453	POU3F1	protein-coding
64121	RRAGC	protein-coding
26292	MYCBP	protein-coding
81025	GJA9	protein-coding
54933	RHBDL2	protein-coding
79647	AKIRIN1	protein-coding
4725	NDUFS5	protein-coding
23499	MACF1	protein-coding
353500	BMP8A	protein-coding
8761	PABPC4	protein-coding
26508	HEYL	protein-coding
84618	NT5C1A	protein-coding
51440	HPCAL4	protein-coding
10450	PPIE	protein-coding
656	BMP8B	protein-coding
64064	OXCT2	protein-coding
54802	TRIT1	protein-coding
4610	MYCL	protein-coding
84879	MFSD2A	protein-coding
10487	CAP1	protein-coding
5538	PPT1	protein-coding
6018	RLF	protein-coding
127391	TMCO2	protein-coding
10269	ZMPSTE24	protein-coding
1298	COL9A2	protein-coding
64744	SMAP2	protein-coding
65243	ZFP69B	protein-coding
339559	ZFP69	protein-coding
64789	EXO5	protein-coding
127396	ZNF684	protein-coding
9783	RIMS3	protein-coding
4802	NFYC	protein-coding
9132	KCNQ4	protein-coding
163732	CITED4	protein-coding
1503	CTPS1	protein-coding
200172	SLFNL1	protein-coding
22955	SCMH1	protein-coding
100132074	FOXO6	protein-coding
1907	EDN2	protein-coding
59269	HIVEP3	protein-coding
2981	GUCA2B	protein-coding
2980	GUCA2A	protein-coding
22887	FOXJ3	protein-coding
284716	RIMKLA	protein-coding
84217	ZMYND12	protein-coding
728621	CCDC30	protein-coding
79717	PPCS	protein-coding
10465	PPIH	protein-coding
4904	YBX1	protein-coding
149461	CLDN19	protein-coding
64175	P3H1	protein-coding
79078	C1orf50	protein-coding
100129924	TMEM269	protein-coding
374969	SVBP	protein-coding
114625	ERMAP	protein-coding
51058	ZNF691	protein-coding
6513	SLC2A1	protein-coding
440585	FAM183A	protein-coding
10969	EBNA1BP2	protein-coding
149465	CFAP57	protein-coding
128218	TMEM125	protein-coding
149466	C1orf210	protein-coding
7075	TIE1	protein-coding
4352	MPL	protein-coding
991	CDC20	protein-coding
64834	ELOVL1	protein-coding
112950	MED8	protein-coding
23334	SZT2	protein-coding
81888	HYI	protein-coding
5792	PTPRF	protein-coding
9682	KDM4A	protein-coding
6487	ST3GAL3	protein-coding
9048	ARTN	protein-coding
9670	IPO13	protein-coding
1802	DPH2	protein-coding
533	ATP6V0B	protein-coding
8704	B4GALT2	protein-coding
149473	CCDC24	protein-coding
6536	SLC6A9	protein-coding
128209	KLF17	protein-coding
105378952	KLF18	protein-coding
55929	DMAP1	protein-coding
79033	ERI3	protein-coding
55182	RNF220	protein-coding
79639	TMEM53	protein-coding
339541	ARMH1	protein-coding
11004	KIF2C	protein-coding
6202	RPS8	protein-coding
266675	BEST4	protein-coding
1263	PLK3	protein-coding
343521	DYNLT4	protein-coding
149478	BTBD19	protein-coding
8643	PTCH2	protein-coding
8891	EIF2B3	protein-coding
79654	HECTD3	protein-coding
7389	UROD	protein-coding
57643	ZSWIM5	protein-coding
84842	HPDL	protein-coding
4595	MUTYH	protein-coding
114034	TOE1	protein-coding
10420	TESK2	protein-coding
126661	CCDC163	protein-coding
25974	MMACHC	protein-coding
5052	PRDX1	protein-coding
10327	AKR1A1	protein-coding
4678	NASP	protein-coding
149483	CCDC17	protein-coding
60313	GPBP1L1	protein-coding
51249	TMEM69	protein-coding
3652	IPP	protein-coding
23139	MAST2	protein-coding
110117499	P3R3URF-PIK3R3	protein-coding
